job_name,company_name,companytype_text,providesalary_text,workarea_text,jobwelf,updatedate,attribute_text
电商客服/抖音客服,深圳市柏泰传媒科技有限公司,合资,4.5-6千/月,深圳-南山区,,10-14,"['深圳-南山区', '1年经验', '招1人']"
用户研究经理(003584),威马汽车科技集团有限公司,民营公司,1.5-3万/月,上海-青浦区,五险一金 补充医疗保险 年终奖金 定期体检,10-14,"['上海-青浦区', '5-7年经验', '本科', '招1人']"
培训主管,广州驰聘贸易有限公司,民营公司,7-9千/月,广州-番禺区,全勤奖 节日福利 带薪年假 包吃,10-14,"['广州-番禺区', '3-4年经验', '大专', '招1人']"
独立站站长,江西优麦跨境电子商务有限公司,民营公司,1-1.5万/月,南昌-红谷滩新区,五险一金,10-14,"['南昌-红谷滩新区', '2年经验', '大专', '招1人']"
葡萄牙语运营,广州东百信息科技有限公司,民营公司,0.8-1万/月,广州,,10-14,"['广州', '无需经验', '大专', '招3人']"
阿里巴巴国际站运营主管,襄阳市杨四郎生物科技有限公司,民营公司,1.5-2万/月,广州-花都区,绩效奖金 全勤奖 节日福利 专业培训 带薪年假 加班补贴 通讯补贴 餐饮补贴 交通补贴 社保,10-14,"['广州-花都区', '3-4年经验', '大专', '招2人']"
招商助理,浙江意欣科技创新有限公司,民营公司,6-8千/月,杭州-余杭区,,10-14,"['杭州-余杭区', '2年经验', '大专', '招若干人']"
网络销售客服,上海菁炽网络科技有限公司,民营公司,0.8-1万/月,上海-浦东新区,,10-14,"['上海-浦东新区', '2年经验', '大专', '招2人']"
电商助理,江苏优捷供应链有限公司,民营公司,4-8千/月,苏州-高新区,五险一金 通讯补贴 年终奖金 餐饮补贴 周末双休 带薪年假 高温补贴,10-14,"['苏州-高新区', '2年经验', '大专', '招若干人']"
战略销售经理,上海爱谱华顿电子科技(集团)有限公司重庆分公司,民营公司,0.8-1万/月,重庆,五险一金 带薪年假 做五休二 绩效奖金 餐饮补贴 交通补贴 通讯补贴 专业培训,10-14,"['重庆', '3-4年经验', '大专', '招2人']"
销售客服,深圳市洋葱电子商务有限公司,创业公司,0.8-1.5万/月,深圳-龙岗区,五险一金 绩效奖金 全勤奖 节日福利 专业培训 带薪年假,10-14,"['深圳-龙岗区', '1年经验', '中专', '招10人']"
可小白销售助理（高底薪/高提成）,广州猕猴桃科技有限公司,民营公司,0.8-1万/月,广州-花都区,补充医疗保险 补充公积金 员工旅游 专业培训 绩效奖金 年终奖金,10-14,"['广州-花都区', '无需经验', '大专', '招5人']"
销售总监,广州摩亚方舟贸易有限公司,民营公司,2.5-4.5万/月,上海-静安区,做五休二 周末双休 带薪年假 餐饮补贴 全勤奖,10-14,"['上海-静安区', '3-4年经验', '大专', '招若干人']"
电商客服,陕西中和宠物食品有限公司,民营公司,3-6千/月,西安-雁塔区,专业培训 餐饮补贴 年终奖金 绩效奖金 通讯补贴,10-14,"['西安-雁塔区', '无需经验', '大专', '招1人']"
京东店铺摄影淘宝天猫美工,广州征酷电子科技有限公司,民营公司,4-6千/月,广州-白云区,五险一金 绩效奖金,10-14,"['广州-白云区', '3-4年经验', '大专', '招2人']"
电商客服,上海道然电子商务有限公司,民营公司,4.5-6千/月,上海-奉贤区,周末双休 做五休二 五险一金,10-14,"['上海-奉贤区', '3-4年经验', '大专', '招5人']"
facebook销售专员,深圳市慧之熠电子商务有限公司,民营公司,6-8千/月,深圳-宝安区,免费班车 员工旅游 绩效奖金 包住 补充医疗保险,10-14,"['深圳-宝安区', '无需经验', '大专', '招10人']"
业务专员,上海镁信健康科技有限公司,合资,1-1.5万/月,郑州,五险一金 绩效奖金 定期体检 通讯补贴 交通补贴,10-14,"['郑州', '2年经验', '大专', '招1人']"
销售经理（浙江地区）,深圳市和讯华谷信息技术有限公司,上市公司,1-2万/月,杭州-拱墅区,五险一金 弹性工作 定期体检 专业培训 员工旅游,10-14,"['杭州-拱墅区', '3-4年经验', '大专', '招1人']"
高级产品经理,深圳市易仓科技有限公司,民营公司,2-3万/月,深圳-南山区,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 生日福利 下午茶 俱乐部活动,10-14,"['深圳-南山区', '5-7年经验', '本科', '招1人']"
销售总监,易票联支付有限公司,民营公司,1.5-2万/月,广州-海珠区,五险一金 补充医疗保险 年终奖金 定期体检 专业培训 餐饮补贴,10-14,"['广州-海珠区', '3-4年经验', '本科', '招2人']"
市场推广,东方财富信息股份有限公司,上市公司,0.8-1.5万/月,上海-徐汇区,五险一金 节日福利 专业培训 定期体检,10-14,"['上海-徐汇区', '无需经验', '本科', '招若干人']"
